model,framework,framework_commit,protocol,source_run,source_dir,canonical_dir,n_per_variant,attack_successes,attack_total,attack_asr,benign_successes,benign_total,benign_fpr,attack_errors,benign_errors,selection_reason
gpt-5.6-luna,Reflexion,218cf0ef1df84b05ce379dd4a8e47f17766733a0,chat_completions,full_n100_20260809T,evaluation\results\emse_reflexion\full_n100_20260809T\gpt-5.6-luna,evaluation\results\emse_reflexion\canonical_baseline_n100\gpt-5.6-luna,100,166,500,0.332,0,500,0.0,0,0,Only complete GPT output; combined matrix was later stopped after baseline completion.
glm-5.2,Reflexion,218cf0ef1df84b05ce379dd4a8e47f17766733a0,chat_completions,full_n100_glm52,evaluation\results\emse_reflexion\full_n100_glm52\glm-5.2,evaluation\results\emse_reflexion\canonical_baseline_n100\glm-5.2,100,215,500,0.43,0,500,0.0,0,0,Standalone run with manifest status complete; excludes duplicate combined-matrix run.
kimi-k2.6,Reflexion,218cf0ef1df84b05ce379dd4a8e47f17766733a0,chat_completions,full_n100_kimi_k26,evaluation\results\emse_reflexion\full_n100_kimi_k26\kimi-k2.6,evaluation\results\emse_reflexion\canonical_baseline_n100\kimi-k2.6,100,398,500,0.796,0,500,0.0,0,0,Standalone run with manifest status complete; excludes duplicate combined-matrix run.
deepseek-v4-flash,Reflexion,218cf0ef1df84b05ce379dd4a8e47f17766733a0,chat_completions,full_n100_deepseek_v4_flash,evaluation\results\emse_reflexion\full_n100_deepseek_v4_flash\deepseek-v4-flash,evaluation\results\emse_reflexion\canonical_baseline_n100\deepseek-v4-flash,100,204,500,0.408,0,500,0.0,0,0,Standalone run with manifest status complete.
mimo-v2.5,Reflexion,218cf0ef1df84b05ce379dd4a8e47f17766733a0,chat_completions,full_n100_mimo_v25,evaluation\results\emse_reflexion\full_n100_mimo_v25\mimo-v2.5,evaluation\results\emse_reflexion\canonical_baseline_n100\mimo-v2.5,100,87,500,0.174,0,500,0.0,0,0,Standalone run with manifest status complete; excludes stopped duplicate checkpoint.
